"id","variety","fermtype","region","district","altitude","year","humidity","rain","temp_max","temp_min","temp_avg","cyanidol3G","delphinidol3G","peonidol3G","petunidol3G","malvidol3G","weather"
36,"Maratheftiko","XZ","LAONA","Limassol",832,"2013",63,570.5,22.3,11.7,17,11.517,5.172,42.856,15.88,195.2,-0.0328757180937926
37,"Maratheftiko","Z","VP","Paphos",837,"2014",63,578.8,21,13.1,17.1,11.258,5.753,47.259,12.192,187.642,-0.0717434564444277
38,"Maratheftiko","XZ","VP","Paphos",837,"2014",63,578.8,21,13.1,17.1,12.394,5.632,48.326,12.228,189.755,-0.0717434564444277
39,"Maratheftiko","Z","OMODOS","Limassol",810,"2014",68,556.8,22.2,11.7,17,12.494,6.52,52.619,13.166,194.833,0.589481499466873
40,"Maratheftiko","XZ","OMODOS","Limassol",810,"2014",68,556.8,22.2,11.7,17,12.429,6.524,51.679,13.412,196.516,0.589481499466873
41,"Maratheftiko","Z","LAONA","Limassol",832,"2014",68,567.7,22.2,11.7,17,11.396,6.492,46.618,15.759,194.853,0.606781542736114
42,"Maratheftiko","XZ","LAONA","Limassol",832,"2014",68,567.7,22.2,11.7,17,11.37,6.24,46.842,15.54,191.629,0.606781542736114
43,"Maratheftiko","Z","VP","Paphos",837,"2015",63,609.8,21.3,12.7,17,12.55,6.324,50.291,12.167,189.534,0.029499667271451
44,"Maratheftiko","XZ","VP","Paphos",837,"2015",63,609.8,21.3,12.7,17,12.283,6.23,50.672,12.037,190.243,0.029499667271451
45,"Maratheftiko","Z","OMODOS","Limassol",810,"2015",68,699.6,21.8,11.4,16.6,12.323,5.64,50.28,13.522,194.257,1.02429260106999
46,"Maratheftiko","XZ","OMODOS","Limassol",810,"2015",68,699.6,21.8,11.4,16.6,12.22,5.982,48.327,13.28,195.322,1.02429260106999
47,"Maratheftiko","Z","LAONA","Limassol",832,"2015",68,774.1,21.8,11.4,16.6,12.41,6.46,45.33,15.937,198.264,1.14253601607535
48,"Maratheftiko","XZ","LAONA","Limassol",832,"2015",68,774.1,21.8,11.4,16.6,12.558,6.25,45.109,15.44,192.518,1.14253601607535
49,"Mavro","Z","LAONA","Limassol",832,"2013",63,570.5,22.3,11.7,17,3.741,2.442,5.994,4.243,69.238,-0.0328757180937926
